Category,Crop,DistrictName,KccAns,QueryText,QueryType,Season,month,year,cleaned_query,cleaned_answer,query_lang,answer_lang
Cereals,Wheat,JAUNPUR,महोदय गेहूं की फसल में बुवाई के समय- 12: 32: 16 की मात्रा-  75 किलोग्राम और म्यूरेट आफ पोटाश की मात्रा - 10 किलोग्राम प्रति एकड़ की दर से प्रयोग करें,information about fertilizers Dose use in wheat crop?,Fertilizer Use and Availability,Kharif,10,2021,information about fertilizers Dose use in wheat crop?,महोदय गेहूं की फसल में बुवाई के समय- 12 32 16 की मात्रा- 75 किलोग्राम और म्यूरेट आफ पोटाश की मात्रा - 10 किलोग्राम प्रति एकड़ की दर से प्रयोग करें,english,hindi
Cereals,Paddy (Dhan),UNNAO,"श्रीमान जी आप  Fipronil 0.3%g 8kg/acor के  दर  से  बुरकाव  करे  धान के  फसल  में /acor के  दर  से
",Termite insect attack in Paddy plant ?,Fertilizer Use and Availability,Kharif,6,2020,Termite insect attack in Paddy plant ?,श्रीमान जी आप Fipronil 0.3 g 8kg acor के दर से बुरकाव करे धान के फसल में acor के दर से,english,hindi
Cereals,Wheat,CHANDAULI,"श्रीमान जी गेहूं की फसल में नैनो यूरिया का छिड़काव नमी की अवस्था में करें, Nano Urea @ 500ml प्रति एकड़ की दर से 150 से 200 लीटर पानी में घोल बनाकर छिड़काव करें |
","Give information use of Nano urea in wheat crops.
",Nutrient Management,Rabi,1,2023,Give information use of Nano urea in wheat crops.,"श्रीमान जी गेहूं की फसल में नैनो यूरिया का छिड़काव नमी की अवस्था में करें, Nano Urea 500ml प्रति एकड़ की दर से 150 से 200 लीटर पानी में घोल बनाकर छिड़काव करें",english,hindi
Cereals,Wheat,BARABANKI,"सर,आप गेहू के फसल में जिंक सलफेट @ 5gm/लीटर पानी में घोल बनाकर स्प्रे करे |",Information about nutrient management in wheat crops.....?,Nutrient Management,Rabi,2,2020,Information about nutrient management in wheat crops.....?,"सर,आप गेहू के फसल में जिंक सलफेट 5gm लीटर पानी में घोल बनाकर स्प्रे करे",english,hindi
Cereals,Wheat,KANPUR CITY,"NPK 18:18:18 ग्रेड का 10 ग्राम प्रति लिटर पानी में घोल कर छिड़काव करें।
","ASKED ABOUT TO [ID] [ID] IN WHEAT   ?
",Nutrient Management,Rabi,2,2024,ASKED ABOUT TO [ID] [ID] IN WHEAT ?,NPK 18 18 18 ग्रेड का 10 ग्राम प्रति लिटर पानी में घोल कर छिड़काव करें।,english,hindi
Cereals,Wheat,SAHARANPUR,"श्री मान जी सल्फर 80 % WDG 400 ग्राम मात्रा प्रति एकड़ 200 लीटर पानी के साथ घोल बनाकर छिड़काव करे तथा मैग्नीशियम की 2 ग्राम की मात्रा को प्रति 1 लीटर पानी की दर से घोल बनाकर छिड़काव करें
",information about nutrient application related to wheat,Nutrient Management,Rabi,1,2024,information about nutrient application related to wheat,श्री मान जी सल्फर 80 WDG 400 ग्राम मात्रा प्रति एकड़ 200 लीटर पानी के साथ घोल बनाकर छिड़काव करे तथा मैग्नीशियम की 2 ग्राम की मात्रा को प्रति 1 लीटर पानी की दर से घोल बनाकर छिड़काव करें,english,hindi
Cereals,Paddy (Dhan),MAU,श्रीमान जी धान की फसल में वृद्धि एवं विकास के लिए सागरिका की 250 ML मात्रा 200 लीटर पानी में घोल बनाकर / एकर के हिसाब से स्प्रे करे |,Information about Plant Growth in  Paddy Crop....?,Nutrient Management,Kharif,8,2024,Information about Plant Growth in Paddy Crop....?,श्रीमान जी धान की फसल में वृद्धि एवं विकास के लिए सागरिका की 250 ML मात्रा 200 लीटर पानी में घोल बनाकर एकर के हिसाब से स्प्रे करे,english,hindi
Cereals,Wheat,KHERI,श्रीमान जी गेहूं की फसल में वृद्धि एवं बढ़वार हेतु 35 - 40 kg यूरिया और 10 kg सागरिका प्रति एकड़ के हिसाब से प्रयोग करें|,Information about Nutrient management in Wheat crop ...?,Nutrient Management,Rabi,11,2021,Information about Nutrient management in Wheat crop ...?,श्रीमान जी गेहूं की फसल में वृद्धि एवं बढ़वार हेतु 35 - 40 kg यूरिया और 10 kg सागरिका प्रति एकड़ के हिसाब से प्रयोग करें,english,hindi
Vegetables,Potato,FIROZABAD,"कॉपर हाइड्रोक्साइड 77% डब्लू.पी. दवा का 2.5 ग्राम प्रति लिटर पानी में घोल बनाकर छिड़काव करें।
","TELL ME ABOUT DISEASE CONTROL IN POTATO CROP?
",Plant Protection,Rabi,12,2021,TELL ME ABOUT DISEASE CONTROL IN POTATO CROP?,कॉपर हाइड्रोक्साइड 77 डब्लू.पी. दवा का 2.5 ग्राम प्रति लिटर पानी में घोल बनाकर छिड़काव करें।,english,hindi
Vegetables,Beet Root (Garden Beet/Stock Beet),HATHRAS,श्री मान जी कॉपर ऑक्सीक्लोराइड 50% WP @ 400 ग्राम/एकर 200 लीटर पानी के साथ छिड़काव करें ,Information about control of fruit rot in Beet root ? ,Plant Protection,Rabi,2,2020,Information about control of fruit rot in Beet root ?,श्री मान जी कॉपर ऑक्सीक्लोराइड 50 WP 400 ग्राम एकर 200 लीटर पानी के साथ छिड़काव करें,english,hindi
Vegetables,Chillies,JAUNPUR,श्रीमान जी मिर्च की फसल में 50% WP @400 ग्राम /एकड़ 200 लीटर पानी में मिलाकर स्प्रे करे ,information about control of decomposition in Chillie crop ?,Plant Protection,Kharif,10,2020,information about control of decomposition in Chillie crop ?,श्रीमान जी मिर्च की फसल में 50 WP 400 ग्राम एकड़ 200 लीटर पानी में मिलाकर स्प्रे करे,english,hindi
Vegetables,Onion,AZAMGARH,"श्रीमान जी, प्याज की फसल में तने का झुलस रोग नियंत्रण के लिए Carbendazim 12% + Mancozeb 63% WP @ 400 ग्राम प्रति एकड़ 200 लीटर पानी के साथ घोल बनाकर छिड़काव कर सकते हैं 
",Information About Control of Stem Blight Disease in Onion Crop ...?,Plant Protection,Rabi,3,2025,Information About Control of Stem Blight Disease in Onion Crop ...?,"श्रीमान जी, प्याज की फसल में तने का झुलस रोग नियंत्रण के लिए Carbendazim 12 Mancozeb 63 WP 400 ग्राम प्रति एकड़ 200 लीटर पानी के साथ घोल बनाकर छिड़काव कर सकते हैं",english,hindi
Vegetables,Tomato,SONBHADRA,महोदय प्लानोफिक्स (NAA)@ 1 ml/4 लीटर पानी में मिलकर स्प्रे करें ,Information about flower drop problem in tomato ..?,Plant Protection,Rabi,2,2020,Information about flower drop problem in tomato ..?,महोदय प्लानोफिक्स (NAA) 1 ml 4 लीटर पानी में मिलकर स्प्रे करें,english,hindi
Vegetables,Bhindi(Okra/Ladysfinger),GHAZIPUR,"NPK 13:0:45 ग्रेड का 10 ग्राम प्रति लिटर पानी में घोल कर छिड़काव करें।
",TELL ME [ID] [ID]  ?,Plant Protection,Zaid,4,2022,TELL ME [ID] [ID] ?,NPK 13 0 45 ग्रेड का 10 ग्राम प्रति लिटर पानी में घोल कर छिड़काव करें।,english,hindi
Vegetables,Potato,FIROZABAD,"महोदय, आलू की फसल में बिजाई से पहले सिंचाई करें। बिजाई के बाद 10-15 दिनों के अंदर अंदर पहली सिंचाई करें। दूसरी सिंचाई पहली सिंचाई के 10 दिनों के बाद करें। बाकी की सिंचाइयां जलवायु की परिस्थितियों और जरूरत के अनुसार करें।",Information about water management in Potato crop..?,Cultural Practices,Rabi,11,2023,Information about water management in Potato crop..?,"महोदय, आलू की फसल में बिजाई से पहले सिंचाई करें। बिजाई के बाद 10-15 दिनों के अंदर अंदर पहली सिंचाई करें। दूसरी सिंचाई पहली सिंचाई के 10 दिनों के बाद करें। बाकी की सिंचाइयां जलवायु की परिस्थितियों और जरूरत के अनुसार करें।",english,hindi
Vegetables,Pea (Vegetable),PRATAPGARH,श्रीमान जी सब्जी मटर की खेती किए हैं आप की खेती में फुल से फली में 70% बदल चुकी है तो आप हल्की सिंचाई कर सकते हैं |,Provide about information of irrigation management in pea vegetable crop ?,Cultural Practices,Rabi,2,2023,Provide about information of irrigation management in pea vegetable crop ?,श्रीमान जी सब्जी मटर की खेती किए हैं आप की खेती में फुल से फली में 70 बदल चुकी है तो आप हल्की सिंचाई कर सकते हैं,english,hindi
Vegetables,Pumpkin,FAIZABAD,श्रीमान जी कद्दू बोने का उपयुक्त समय फरवरी-मार्च और जून-जुलाई महीना है,Information about sowing time of Pumpkin?,Cultural Practices,Rabi,1,2020,Information about sowing time of Pumpkin?,श्रीमान जी कद्दू बोने का उपयुक्त समय फरवरी-मार्च और जून-जुलाई महीना है,english,hindi
Vegetables,Potato,BAHRAICH,"श्रीमान जी आलू की अगेती फसल की बुआई मध्य सितम्बर से अक्टूबर के प्रथम सप्ताह तक है।
मुख्य फसल की बुवाई अक्टूबर के पहले सप्ताह से अक्टूबर के तीसरे सप्ताह तक की जानी चाहिए।
",Information about sowing time of  Potato?,Cultural Practices,Kharif,10,2023,Information about sowing time of Potato?,श्रीमान जी आलू की अगेती फसल की बुआई मध्य सितम्बर से अक्टूबर के प्रथम सप्ताह तक है। मुख्य फसल की बुवाई अक्टूबर के पहले सप्ताह से अक्टूबर के तीसरे सप्ताह तक की जानी चाहिए।,english,hindi
Vegetables,Mushroom,FIROZABAD,महोदय  मशरुम  कल्टीवेशन  के  लिए  आप  kvk से  प्रशिक्षण  ले , Information about mushroom cultivation ..?,Cultural Practices,Kharif,8,2020,Information about mushroom cultivation ..?,महोदय मशरुम कल्टीवेशन के लिए आप kvk से प्रशिक्षण ले,english,hindi
Vegetables,Pumpkin,BARABANKI,"श्रीमानजी कद्दू का बीज दर 4 से 5 किलोग्राम प्रति हेक्टेयर, पंक्ति से पंक्ति की दूरी 250 (सेमी०), पौधे से पौधे की दूरी 50 से 75 (सेमी०), और बुवाई की गहराई 3 (सेमी०) पर करे","Give information about Seed rate, Row to row distance, Distance from plant to plant, And Sowing depth of Pumpkin ....?",Cultural Practices,Rabi,2,2020,"Give information about Seed rate, Row to row distance, Distance from plant to plant, And Sowing depth of Pumpkin ....?","श्रीमानजी कद्दू का बीज दर 4 से 5 किलोग्राम प्रति हेक्टेयर, पंक्ति से पंक्ति की दूरी 250 (सेमी०), पौधे से पौधे की दूरी 50 से 75 (सेमी०), और बुवाई की गहराई 3 (सेमी०) पर करे",english,hindi
Vegetables,Cauliflower,AURAIYA,"श्रीमान जी,गोभी की पौध में  NPK 19:19:19 @ 10 ग्राम तथा सागरिका जैविक पोषक तत्व 2 मिलीलीटर प्रति लीटर पानी की दर से घोल बनाकर छिड़काव करें |
","Information about the nutrient management in cauliflower crop..?
",Nutrient Management,Kharif,10,2024,Information about the nutrient management in cauliflower crop..?,"श्रीमान जी,गोभी की पौध में NPK 19 19 19 10 ग्राम तथा सागरिका जैविक पोषक तत्व 2 मिलीलीटर प्रति लीटर पानी की दर से घोल बनाकर छिड़काव करें",english,hindi
Vegetables,Cucumber,HAPUR (PANCHSHEEL NAGAR),"श्रीमान जी,खीरे की फसल में नाइट्रोबेंजीन 20% एल @ 2ml प्रति लीटर पानी की दर से मिला करके स्प्रे करें|",Information about fruiting in cucumber crop?,Nutrient Management,Kharif,9,2024,Information about fruiting in cucumber crop?,"श्रीमान जी,खीरे की फसल में नाइट्रोबेंजीन 20 एल 2ml प्रति लीटर पानी की दर से मिला करके स्प्रे करें",english,hindi
Vegetables,Pea (Vegetable),LALITPUR,"श्रीमान जी, मटर की फसल के लिए यूरिया 30 किलोग्राम, सिंगल सुपर फास्फेट 150 किलोग्राम, म्यूरेट आफ पोटाश 30 किलोग्राम प्रति एकड़ की जरूरत होगी l  सिंगल सुपर फास्फेट, म्यूरेट आफ पोटाश की पूरी मात्रा और यूरिया की आधी मात्रा बुवाई के समय डालें बाकी बची यूरिया को बुवाई के 1 महीने बाद डालें l",Information about fertilizer dose for Pea(vegetable)..?,Nutrient Management,Kharif,10,2021,Information about fertilizer dose for Pea(vegetable)..?,"श्रीमान जी, मटर की फसल के लिए यूरिया 30 किलोग्राम, सिंगल सुपर फास्फेट 150 किलोग्राम, म्यूरेट आफ पोटाश 30 किलोग्राम प्रति एकड़ की जरूरत होगी l सिंगल सुपर फास्फेट, म्यूरेट आफ पोटाश की पूरी मात्रा और यूरिया की आधी मात्रा बुवाई के समय डालें बाकी बची यूरिया को बुवाई के 1 महीने बाद डालें l",english,hindi
Vegetables,Potato,BADAUN,प्रिय महोदय आलू की फसल में मैंगनीज की कमी को दूर करने के लिए मैंगनीज सल्फेट (मैंगनीज 30.5%+सल्फर 17%) 4 किलो/एकड़ भूमि में प्रयोग करे या 5 ग्राम/ लीटर पानी की दर से छिड़काव कर सकते हैं ,How to overcome the deficiency of Manganese in potato crops?,Nutrient Management,Rabi,1,2024,How to overcome the deficiency of Manganese in potato crops?,प्रिय महोदय आलू की फसल में मैंगनीज की कमी को दूर करने के लिए मैंगनीज सल्फेट (मैंगनीज 30.5 सल्फर 17 ) 4 किलो एकड़ भूमि में प्रयोग करे या 5 ग्राम लीटर पानी की दर से छिड़काव कर सकते हैं,english,hindi
Vegetables,Watermelon,HATHRAS,महोदय फसल मे फूलों की संख्या को बढ़ाने व उपज मे वृद्धि करने के लिए Nitrobenzene 20% की 400 एमएल मात्रा 200 लीटर पानी मे मिलाकर छिड़काव करें |,Information regarding induce flowering in water melon crop  ?,Nutrient Management,Zaid,5,2025,Information regarding induce flowering in water melon crop ?,महोदय फसल मे फूलों की संख्या को बढ़ाने व उपज मे वृद्धि करने के लिए Nitrobenzene 20 की 400 एमएल मात्रा 200 लीटर पानी मे मिलाकर छिड़काव करें,english,hindi
Vegetables,Potato,MATHURA,"श्रीमान  जी  आलू   की  फसल  में  ग्रोथ  के  लिए  सागरिका  250 ml/एकर  में  200 लीटर  पानी  में  घोल  कर  स्प्रे  करे
",Information Of  Nutrient management in Potato Crop ?,Nutrient Management,Rabi,12,2020,Information Of Nutrient management in Potato Crop ?,श्रीमान जी आलू की फसल में ग्रोथ के लिए सागरिका 250 ml एकर में 200 लीटर पानी में घोल कर स्प्रे करे,english,hindi
Fruits,Mango,KHERI,"श्रीमान आम के पौधे पर सल्फर 80% WDG@ 2 ग्राम /लीटर पानी में घोल बनाकर स्प्रे करे
",Information about disease control in Mango...?,Plant Protection,Rabi,3,2021,Information about disease control in Mango...?,श्रीमान आम के पौधे पर सल्फर 80 WDG 2 ग्राम लीटर पानी में घोल बनाकर स्प्रे करे,english,hindi
Fruits,Mango,GORAKHPUR,"श्रीमान जी आम के पेड़ में फल काला पड़ रहा है इसकी रोकथाम के लिए कॉपर ऑक्सिक्लोराइड 50 परसेंट डब्ल्यूपी 2 ग्राम प्रति 1 लीटर पानी में घोल बनाकर छिड़काव करें |
",Information about fruit turning black in mango tree...?,Plant Protection,Zaid,5,2023,Information about fruit turning black in mango tree...?,श्रीमान जी आम के पेड़ में फल काला पड़ रहा है इसकी रोकथाम के लिए कॉपर ऑक्सिक्लोराइड 50 परसेंट डब्ल्यूपी 2 ग्राम प्रति 1 लीटर पानी में घोल बनाकर छिड़काव करें,english,hindi
Fruits,Mango,JAUNPUR,महोदय आप आम के पौध में Mango Malformation रोग को नियंत्रण करने के लिए कॉपर ऑक्सीक्लोराइड 50 % WP @ 2 ग्राम/लीटर पानी की दर से घोल बनाकर छिड़काव करें|,Information about Mango Malformation Problem in Mango Plant..?,Plant Protection,Rabi,3,2021,Information about Mango Malformation Problem in Mango Plant..?,महोदय आप आम के पौध में Mango Malformation रोग को नियंत्रण करने के लिए कॉपर ऑक्सीक्लोराइड 50 WP 2 ग्राम लीटर पानी की दर से घोल बनाकर छिड़काव करें,english,hindi
Fruits,Mango,KANPUR CITY,"सर -  प्लानोफिक्स 1 मिलीलीटर दवा / 4 लीटर पानी में मिलाकर छिड़काव करें |

","Information about  Mango Malformation control in Mango plant..?
",Plant Protection,Rabi,1,2020,Information about Mango Malformation control in Mango plant..?,सर - प्लानोफिक्स 1 मिलीलीटर दवा 4 लीटर पानी में मिलाकर छिड़काव करें,english,hindi
Fruits,Guava,MUZAFFARNAGAR,श्रीमान जी अमरूद के पेड़ में फल सूख रहे हैं इसकी रोकथाम के लिए कार्बेंडाजिम 12 परसेंट प्लस मैनकोज़ेब 63 परसेंट डब्ल्यूपी 400 ग्राम प्रति एकड़ 200 लीटर पानी में घोल बनाकर छिड़काव करें |,Information about amrood ke ped me fal shookh rahe hai ...?,Plant Protection,Kharif,10,2020,Information about amrood ke ped me fal shookh rahe hai ...?,श्रीमान जी अमरूद के पेड़ में फल सूख रहे हैं इसकी रोकथाम के लिए कार्बेंडाजिम 12 परसेंट प्लस मैनकोज़ेब 63 परसेंट डब्ल्यूपी 400 ग्राम प्रति एकड़ 200 लीटर पानी में घोल बनाकर छिड़काव करें,english,hindi
Fruits,Jack Fruit,SONBHADRA,"महोदया, Copper Oxychloride 50% WP @  2.5 ग्राम प्रति लीटर पानी के साथ घोल बनाकर छिड़काव करें |
",Information about the control of rhizopus rot in jackfruit..?,Plant Protection,Rabi,2,2025,Information about the control of rhizopus rot in jackfruit..?,"महोदया, Copper Oxychloride 50 WP 2.5 ग्राम प्रति लीटर पानी के साथ घोल बनाकर छिड़काव करें",english,hindi
Fruits,Lemon,SULTANPUR,महोदय नींबू की फसल में फूल में विकास के लिए मिक्स humic acid 12 % की 2ml की मात्रा प्रति 1 लीटर पानी में मिश्रण की दर से मिलाकर छिड़काव करें,information about nutrient application for growth of flower in lemon,Nutrient Management,Kharif,7,2023,information about nutrient application for growth of flower in lemon,महोदय नींबू की फसल में फूल में विकास के लिए मिक्स humic acid 12 की 2ml की मात्रा प्रति 1 लीटर पानी में मिश्रण की दर से मिलाकर छिड़काव करें,english,hindi
Fruits,Pomegranate,FAIZABAD,सर आप अनार के पेड़ पर फल के अच्छी गुणवत्ता के लिए एन.पी.के 18:18:18 @  5 ग्राम प्रति लीटर पानी के हिसाब से घोल बनाकर स्प्रे करें और क्लोरपीरिफॉस 1.5% डस्ट पाउडर डस्टिंग करें |,Information about insect and nutrient management in pomagranate......?,Nutrient Management,Rabi,12,2020,Information about insect and nutrient management in pomagranate......?,सर आप अनार के पेड़ पर फल के अच्छी गुणवत्ता के लिए एन.पी.के 18 18 18 5 ग्राम प्रति लीटर पानी के हिसाब से घोल बनाकर स्प्रे करें और क्लोरपीरिफॉस 1.5 डस्ट पाउडर डस्टिंग करें,english,hindi
Fruits,Lemon,GHAZIPUR,श्रीमान जी नींबू के पौधे पर मल्टी माइक्रोन्यूट्रिएंट की 2.5 ग्राम मात्रा प्रति लीटर पानी के हिसाब से घोल बनाकर स्प्रे करें  ,Provide information regarding growth of lemon fruits ?,Nutrient Management,Zaid,4,2025,Provide information regarding growth of lemon fruits ?,श्रीमान जी नींबू के पौधे पर मल्टी माइक्रोन्यूट्रिएंट की 2.5 ग्राम मात्रा प्रति लीटर पानी के हिसाब से घोल बनाकर स्प्रे करें,english,hindi
Fruits,Banana,GONDA,"श्रीमान जी,सागरिका 2.5 ml/2 लीटर पानी की दर से घोलकर छिड़काव करें|",Information about increase growth of Banana plant?,Nutrient Management,Rabi,3,2021,Information about increase growth of Banana plant?,"श्रीमान जी,सागरिका 2.5 ml 2 लीटर पानी की दर से घोलकर छिड़काव करें",english,hindi
Fruits,Musk Melon,SAMBAL (BHIM NAGAR),श्रीमान जी आप तरबूज की बुवाई 1 फरवरी से 15 मार्च तक कर सकते हैं,Information about fertilizer use sowing time Muskmelon crop?,Nutrient Management,Rabi,1,2020,Information about fertilizer use sowing time Muskmelon crop?,श्रीमान जी आप तरबूज की बुवाई 1 फरवरी से 15 मार्च तक कर सकते हैं,english,hindi
Fruits,Banana,KHERI,श्रीमान जी केले के पौधों में वृद्धि और विकास के लिए एनपीके 18 18 18 10 ग्राम प्रति लीटर तथा माइक्रोन्यूट्रिएंट 2 मिलीलीटर प्रति लीटर पानी के हिसाब से  घोल बनाकर छिड़काव करें,Provide information for nutrient management in banana plant ?,Nutrient Management,Kharif,9,2021,Provide information for nutrient management in banana plant ?,श्रीमान जी केले के पौधों में वृद्धि और विकास के लिए एनपीके 18 18 18 10 ग्राम प्रति लीटर तथा माइक्रोन्यूट्रिएंट 2 मिलीलीटर प्रति लीटर पानी के हिसाब से घोल बनाकर छिड़काव करें,english,hindi
